block_loop,reps,leftLabel,rightLabel,InstrText,stims,correct_key,stim_color,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_3.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,label_left.started,label_right.started,polygon_2.started,polygon_2.stopped,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",愉悦,e,white,0,0,0,0,1,1,9,3,,,,,,,,,40.12504849999095,40.12504849999095,40.12504849999095,40.62803179999173,41.11890999999014,41.11890999999014,e,0.7042493000044487,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",厌恶,i,white,0,0,0,0,1,2,10,6,,,,,,,,,41.83370419999119,41.83370419999119,41.83370419999119,42.33639289998973,42.82711939999717,42.82711939999717,i,0.5482849000109127,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",美丽,e,white,0,0,0,0,1,3,11,0,,,,,,,,,43.3845500999887,43.3845500999887,43.3845500999887,43.88741399999708,44.37831679999363,44.37831679999363,e,0.7206440000009025,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",丑陋,i,white,0,0,0,0,1,4,12,4,,,,,,,,,45.10507359998883,45.10507359998883,45.10507359998883,45.60804089999874,46.10469349999039,46.10469349999039,i,0.47967669999343343,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",喜爱,e,white,0,0,0,0,1,5,13,2,,,,,,,,,46.595450099994196,46.595450099994196,46.595450099994196,47.09835249999014,47.58901009999681,47.58901009999681,e,0.5534541000088211,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",恶心,i,white,0,0,0,0,1,6,14,5,,,,,,,,,48.152433700000984,48.152433700000984,48.152433700000984,48.65533329999016,49.146188300001086,49.146188300001086,i,0.45840669999597594,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",难受,i,white,0,0,0,0,1,7,15,7,,,,,,,,,49.61262229998829,49.61262229998829,49.61262229998829,50.11550139999599,50.60621359999641,50.60621359999641,i,0.6911303999950178,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",丑陋,i,white,0,0,0,0,2,0,16,4,,,,,,,,,51.30906319999485,51.30906319999485,51.30906319999485,51.81171529999119,52.30245139999897,52.30245139999897,i,0.6066111999971326,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",恶心,i,white,0,0,0,0,2,1,17,5,,,,,,,,,52.92030239998712,52.92030239998712,52.92030239998712,53.42340409998724,53.92002399999183,53.92002399999183,i,1.7164666000026045,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",美丽,e,white,0,0,0,0,2,2,18,0,,,,,,,,,55.64656209999521,55.64656209999521,55.64656209999521,56.149504499990144,56.64622669998789,56.64622669998789,e,0.5791400999878533,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",喜爱,e,white,0,0,0,0,2,3,19,2,,,,,,,,,57.23394369999005,57.23394369999005,57.23394369999005,57.73682049999479,58.2274497999897,58.2274497999897,e,0.5073813000053633,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",难受,i,white,0,0,0,0,2,4,20,7,,,,,,,,,58.74250549999124,58.74250549999124,58.74250549999124,59.24530579999555,59.742294600000605,59.742294600000605,i,0.5162261000077706,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",漂亮,e,white,0,0,0,0,2,5,21,1,,,,,,,,,60.26919549999002,60.26919549999002,60.26919549999002,60.77202869999746,61.262828299994,61.262828299994,e,0.5016354999970645,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
